ENROLLMENT_ID STUDENT_ID  COURSE_ID SEMESTER   GR
------------- ---------- ---------- ---------- --
          101 2.3105E+10     105501 5th        A+
          102 2.3105E+10     105502 5th        A
          103 2.3105E+10     105503 5th        B+
          104 2.3105E+10     105504 5th        c
          105 2.3105E+10     100508 5th        B
          106 2.3105E+10     105501 5th        B+
          107 2.3105E+10     105502 5th        A-
          108 2.3105E+10     105503 5th        A
          109 2.3105E+10     105504 5th        B+
          110 2.3105E+10     100508 5th        A+
          111 2.3110E+10     105501 5th        A

ENROLLMENT_ID STUDENT_ID  COURSE_ID SEMESTER   GR
------------- ---------- ---------- ---------- --
          112 2.3110E+10     105501 5th        B+
          113 2.3110E+10     105501 5th        B
          114 2.3110E+10     105501 5th        B-
          115 2.3110E+10     105501 5th        C
          116 2.3102E+10     105501 5th        B+
          117 2.3102E+10     105501 5th        B
          118 2.3102E+10     105501 5th        A-
          119 2.3102E+10     105501 5th        A+
          120 2.3102E+10     105501 5th        C+
